종목코드,회사명,업종,기업개요,시가총액,마켓타입
001140,국보,도로 화물 운송업,"동사는 물류사업을 영위하고 있음. 종속기업으로는 케이티엘, 투에이치타운이 있음. 보그인터내셔날의 , 부산제일경제의 지분을 전량 매각하여 물류사업만 영위하고 있음. 최신 하역설비 등의 중장비를 갖춰 고객에게 신속하고 안전한 항만하역 서비스 제공하여 기본적인 3자물류 기능뿐만 아니라 파트너와의 Win-Win관계를 위하여 파트너의 물류진단 및 컨설팅 등 4자물류 서비스를 제공함.",335,KOSPI
014530,극동유화,석유 정제품 제조업,"동사는 산업, 기계용 윤활유 생산, 의약, 화장품, 식품용 및 PS가소제로 사용중인 고급특수유 (유동파라핀) 등을 생산하는 윤활유 사업부, 석유유통사업부, 아스팔트 사업부를 영위하고 있음. 연결 종속회사인 극동유화(남녕)무역유한공사는 윤활유 관련 상품의 중국 내 판매를 담당하고 있음. 동사의 연결종속회사인 '케이디탱크터미널(주)'은 유류보관업을 영위하고 있음.",1266,KOSPI
090350,노루페인트,기타 화학제품 제조업,"동사는 주식회사 노루홀딩스에서 2006년 인적분할되어 설립되었으며 도료 제조 및 판매 등의 사업을 승계함. 건축용, 자동차보수용,공업용, PCM강판용, 모바일용 등 다양한 도료를 공급하고 있으며 국내 약 6개의 대기업 도료업체들과 경쟁하고 있음. 3만 여종의 제품을 생산하고 있으며 도료산업의 주요 수요산업인 건설, 자동차, 선박, 전기/전자 산업의 영향을 크게 받는 편임.",1608,KOSPI
069620,대웅제약,의약품 제조업,"동사는 2002년 10월 주식회사 대웅이 사업부문을 인적 분할하여 설립되었으며, 종속회사는 의약품 제조 및 판매업을 영위하는 주요종속회사인 한올바이오파마를 포함한 총 13개 회사로 구성. 의약품 제조 및 판매를 영위하고 있으며, 주요제품은 우루사, 알비스, 올메텍, 임팩타민, 넥시움 등 다양한 용도의 의약품으로 구성됨. 영업사원에 대한 디테일 능력향상, 제품차별화 포인트, 선진 마케팅기법 교육 등을 통해 판매를 강화하고 있음.",14773,KOSPI
006340,대원전선,절연선 및 케이블 제조업,"연결회사는 전력 및 통신케이블을 주력으로 각종 전선류를 제조 및 판매하고 있음. 주요 품목으로는 전력배송전에 사용되는 나선과 전력전선, 전원의 배선용에 사용되는 절연전선, 시내외 통신용으로 사용되는 통신전선, 자동차 내부에 활용되는 자동차전선 등이 있음. 생산된 주요 제품 등은 전국 도소매 업체를 통한 유통영업과 국내외 건설사 및 산업전력업체를 통한 산업영업판매 경로를 통하여 국내외로 판매됨.",2047,KOSPI
001070,대한방직,직물직조 및 직물제품 제조업,"동사 사업 부문은 사류사업본부와 직물사업본부로 분류되며 사류사업 본부는 면사, 혼방사, 고부가가치 특수사 등의 수입·판매 및 가먼트 봉제 영업을 담당함. 직물사업본부는 직물을 염색/가공하여 2차 섬유제조업체에 공급하거나 염색/가공된 원단과 완제품을 온라인 채널을 통하여 고객들에게 직접 판매함. 고부가가치의 염색가공제품을 생산하는 대구공장이 있으며, 대한방직(상해)유한공사는 섬유 및 기타상품 무역업을 주된 사업으로 하고 있음.",287,KOSPI
006650,대한유화,기초 화학물질 제조업,"1970년 설립되어 에틸렌 등 올레핀류 및 기초유분제품, EO/EG 등을 생산하며, 울산공장에서 합성수지 원료로 주로 사용하고 일부는 판매하고 있음. 울산, 온산의 석유화학공업단지에 수직 계열화된 생산시설을 보유하고 있어 에틸렌, 프로필렌 시황 변화에 상관없이 안정적으로 원료를 공급받을 수 있음. 2개의 공장은 HDPE와 PP를 서로 선택적으로 생산할 수 있는 시스템이어서 합성수지 시황에 따른 탄력적운영으로 이익 극대화가 가능함.",5752,KOSPI
003490,대한항공,항공 여객 운송업,"동사는 24년 6월 말 기준, 총 136대의 여객기를 보유하고 국내 10개 도시와 해외 32개국 89개 도시에 취항하고 있으며, 화물기는 23대를 운항하고 있음. 항공운송사업에 더불어 항공기 설계 및 제작, 민항기 및 군용기 정비, 위성체 등의 연구개발을 수행하며 시너지효과를 창출하고 있음. 무인기 사업을 확대하여 스텔스 무인기 기술시범기 개발을 완료하고, 무인편대기 핵심기술 연구개발을 순차적으로 진행하고 있음.",89109,KOSPI
102260,동성케미컬,회사 본부 및 경영 컨설팅 서비스업,"동사는 2008년 동성화학으로부터 분할 설립되어 지주회사업을 영위하고 있으며, 2015년 종속기업인 동성하이켐과의 합병을 통해 현재는 석유화학제품 및 유기과산화물 제품 제조업을 함께 영위하고 있음. 2021년 4월 1일을 합병기일로 하여 동성화학을 흡수합병하였음. 사업부문은 석유화학 사업 및 정밀화학 사업, 우레탄 사업, 건축용 SMC 시트 제조 판매사업, 폴리우레탄 수지 제품 제조, 판매사업 등이 있음.",1965,KOSPI
018500,동원금속,자동차 신품 부품 제조업,"동사는 1971년 4월, 동원산업사로 설립되어 1995년 11월 코스피에 상장한 자동차 부품 전문 기업임. 자동차 DOOR FRAME류를 비롯한 각종 CHANNEL, COWL CROSS MEMBER 및 전기차용 BATTERY FRAME 등 자동차 부품 생산에만 전력을 기울여 왔음. 동사는 자체 부품을 생산해 현대차그룹에 공급함. 종속기업인 동원파이프가 산업용, 자동차용 강관 사업을 영위함.",542,KOSPI
030720,동원수산,어로 어업,"수산물 제조와 가공, 냉동냉장업 및 기타 관련사업을 목적으로 1970년 5월 5일에 설립되었음. 현재 16척의 원양어선을 보유하고 있으며, 뉴질랜드 및 중국에 해외현지법인을 두고 영업활동을 영위하고 있음. 태평양, 인도양 등에서 참치연승선 14척을 보유 운항 중이며 어획한 참다랑어, 눈다랑어, 황다랑어는 일본 등에 직접 매출 또는 수산물 유통부문인 횟감용 참치 가공 전문 업체 유왕에 제품 원료로 공급하고 있음.",243,KOSPI
163560,동일고무벨트,고무제품 제조업,"사업은 크게 전동벨트 및 컨베어벨트를 생산하는 고무벨트부문과 굴삭기, 컴바인, 운반기 등 건설 및 농업용 기계에 사용하는 크롤러 등을 생산하는 기타고무제품부문으로 구성됨. 이밖에도 의료기기 등을 생산하고, 토목건축자재, 면진제진시스템 등을 제공하는 기타 부문의 사업도 영위함. 현재 영위하는 사업과 관련하여 특허/실용신안 22건, 디자인 17건, 상표 29건을 보유하고 있음.",1076,KOSPI
034020,두산에너빌리티,일반 목적용 기계 제조업,"동사는 1962년 현대양행으로 설립되었으며 1980년 한국중공업으로 변경됨. 2022년 3월 두산중공업에서 두산에너빌리티로 사명 변경함. 발전설비 및 담수설비, 주단조품, 건설(두산에너빌리티 부문),  연료전지 주기기(두산퓨얼셀)등의 사업을 영위 중. 건설기계 및 장비(두산밥캣)은 합병소멸로 연결 제외 예정됨. 원전의 핵심 설비와 핵연료 취급 설비, 핵연료 운반 용기 및 원자로 계통 보조기기의 대부분을 제작하여 공급하고 있음.",138041,KOSPI
001530,디아이동일,상품 중개업,"동사와 연결대상 종속회사는 섬유소재, 의류, 알루미늄, 플랜트 및 환경, 가구도소매, 화장품 등의 사업을 영위함. 의류 제조 DIB-이집트, 알루미늄 기업 동일알루미늄, 가구 도소매 업체 디아이비즈 등이 연결대상 종속회사임. 인도네시아와 이집트 등에도 연결대상 종속회사를 보유하고 있으며 국내 시화, 반월, 안산 등에 생산시설을 운영함. 일신방직, 경방, 전방 등이 섬유 부문 주요 경쟁사임.",10338,KOSPI
210540,디와이파워,특수 목적용 기계 제조업,"동사는 2014년 12월에 동양기전 유압기기사업부에서 인적분할을 통해 설립되었으며, 2015년 1월 유가증권시장에 주식을 상장함. 유압실린더 등 유공압기기 및 유공압기계 제조 및 판매업을 영위하고 있으며, 동사와 관련된 주요 산업분야는 건설기계, 산업차량부문 및 특장차 부문임. 주요 거래처는 HD현대인프라코어, HD현대건설기계, HD현대사이트솔루션, 두산밥캣 등이 있음.",1416,KOSPI
115390,락앤락,플라스틱제품 제조업,"동사는 1987년 설립되어, 밀폐용기 및 주방생활용품의 제조, 유통업을 주요 사업으로 영위하고 있음. 한국과 중국, 동남아시아, 독일, 미국 등 전세계에 총 16개 동종 업종을 영위하는 회사로 구성되었으며, 종합생활용품 제조와 유통을 넘어 글로벌 라이프 스타일 혁신을 만들어가고 있음. 저장용기, 베버리지 웨어 (텀블러, 물병), 쿡웨어(프라이팬, 냄비등), 소형가전 등 4대 카테고리를 중심으로 사업을 영위하고 있음.",3761,KOSPI
011170,롯데케미칼,기초 화학물질 제조업,"동사는 롯데정밀화학, 롯데에너지머티리얼즈의 연결편입으로 사업조직을 기초화학, 첨단소재, 정밀화학, 전지소재로 재편하였음. 기초화학의 주요 제품으로는 에틸렌(EL), 프로필렌(PL)등이 있으며 첨단소재 주요 제품으로는 ABS, 폴리카보네이트(PC)등이 있음. 정밀화학은 롯데정밀화학과 그 종속회사를 대상으로 하며 ECH, 가성소다 등을 주요 제품으로하며 전지소재 사업은 동박 등을 주요제품으로 함.",28189,KOSPI
002760,보락,기타 화학제품 제조업,"1959년 한국농산공업으로 설립되었으며, 식품 첨가물과 원료 의약품 전문 회사임. 식품 첨가물인 파인애플 엣센스, 보락씨엠씨칼슘, 사카린나트륨 등을 만들어 주요 식품 회사 등에 공급함. 식품향료, 껌베이스, 생약제, 식품기능성 소재, 천연화장품 신소재 개발 등 최근 트렌드에 맞는 시장의 흐름을 파악하여 제품을 개발하는데 중점을 두고 연구개발을 통해 꾸준히 신제품을 출시 중임.",688,KOSPI
003850,보령,의약품 제조업,"동사는 전문의약품(ETC) 사업에서 고혈압, 이상지질혈증, 당뇨, CNS, 항암제 질환군과 관련한 의약품 사업을 영위하며 항암제 질환군과 관련해서는 오리지널 제품 브랜드의 인수와 도입을 진행 중임. 안산공장과 예산공장의 우수한 전문 생산시설의 가동률을 높이고 매출 및 이익에 기여하기 위해 수탁생산을 실시하는 사업부문을 보유함. 일반의약품 사업으로는 겔포스와 용각산을 주력으로 함.",7178,KOSPI
003960,사조대림,수산물 가공 및 저장 처리업,"동사는 1964년 설립되어 식품, 식용유 제조 및 판매업과 원양어업을 주요 사업으로 하는 회사로, 1976년 유가증권시장에 상장함. 동사와 연결종속회사들의 주요사업부문은 식품사업부문, 축산사업부문, 수산사업부문으로 구분되고 있으며, 총 5개의 종속회사로 구성되어 있음. 수산부문은 세계 최다 횟감용 참치선단을 보유한 사조그룹과 수산부문을 통합함으로써 트롤분야 업계 1위의 자리를 확고히 함.",3776,KOSPI
001470,삼부토건,토목 건설업,"동사는 국내건설업부문(삼부토건, 삼부르네상스, 삼부르네상스더힐), 해외건설업부문(삼부토건, 삼부파키스탄), 스틸사업부문(삼부토건), 기타사업부문(삼부토건)으로 운영됨. 2024년 도급순위 기준 71위 업체로 76년간의 풍부한 토목시공 경험을 토대로 항만, 댐, 도로, 지하철, 발전소 등에서 기술적 노하우와 시공실적을 보유함. 국내사업 부문에서는 도로공사, 지하철, 철도, 발전소 등의 생산 및 판매 제품이 있음.",2907,KOSPI
068290,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업","동사는 유아동 출판물을 주축으로 하여 영어교재(유치원, 초등학원) 및 성인교양물, 휴게소사업, 임대사업을 통해 사업을 영위하고 있음. 온오프라인서점과 소셜쇼핑 등의 도서코너를 통해 판매되는 상품군이 주를 이룸. 동사는 현재 유/아동 단행본 시장에서 독보적인 위치를 점하고 있음. 주요 종속회사로는 문구, 패션디자인 제품 및 사무용품을 제조하여 국내, 국외 직영, 체인 유통망을 통해 소비자에게 판매하는 아트박스가 있음.",1355,KOSPI
029780,삼성카드,기타 금융업,"동사는 1983년 설립된 이후 여신전문금융업을 영위하고 있으며 주력사업은 카드사업부문, 할부리스사업부문 및 기타부문으로 구성되어 있음. 동사는 마케팅 및 영업기획 조직과 지역거점을 토대로 카드상품개발, 회원유치, 회원 및 가맹점 연계 마케팅 등 영업 활동을 수행하고 있음. 동사는 신용카드에서 현재 약 1,175만의 개인 및 법인 회원과 277만개의 가맹점을 기반으로 차별화된 마케팅과 창의적인 상품 및 서비스를 출시하였음.",47328,KOSPI
003720,삼영,플라스틱제품 제조업,"동사는 필름형 박막 콘덴서(전류안정화장치, 축전기) 소재인 커패시터 필름을 국내에서 유일하게 생산하는 업체임. 주력제품인 커패시터 필름이 국내시장의 약 80% 가량을 점유하고 있고, BOPP와 PVC는 국내 시장에서 3위권의 시장 점유율을 차지하고 있음. 이 외에도 WRAP, PE WRAP, 합성지 등을 생산하고 있음. 동사는 삼영중공업과 대련삼영화학(유)을 계열회사로 두고 있음.",1280,KOSPI
023000,삼원강재,자동차 신품 부품 제조업,"평강, 봉강, 특수이형강 및 자동차용 겹판스프링 등의 제조 및 판매를 주목적으로 1992년 7월 21일 설립되었음. 동사는 스프링 소재 전문생산업체로서 국내의 경우 독점적인 지위를 지키고 있음. 2006년에는 소재가공공장을 신축하였고, 2009년에는 세계적인 추세인 자동차 경량화에 발 맞추어 파이프 조관공장을 신축하는 등 지속적인 투자를 바탕으로 변화에 발빠르게 대응하면서 수익성 증대에 힘쓰고 있음.",1008,KOSPI
007860,서연,기타 금융업,"연결대상 종속기업에 포함된 회사들의 주된 사업은 자동차 DOOR 내측의 DOOR TRIM, 상용차 SEAT 등을 생산하는 자동차부품 제조업 공정거래위원회의 승인을 받은 지주회사로 자회사로부터 전산서비스 수수료, 임대료, 경영자문료, 브랜드로열티 및 배당금 등으로 수익을 창출. 동사는 투자사업부문을 담당하는 ㈜서연(존속법인)과 자동차 부품제조 부문의 (주)서연이화(신설법인)로 2014년 7월 인적분할을 통해 다른 회사 주식을 소유.",1632,KOSPI
017390,서울도시가스,연료용 가스 제조 및 배관공급업,"동사가 공급하는 도시가스는 LNG이며, 이를 한국가스공사가 인도네시아 등지에서 LNG운반선을 통해 전량 수입하여 발전소, 지역난방공사 등 대규모 수요자와 도시가스 회사에 공급하고 있음. 종속회사인 지알엠은 부동산 임대 및 관련 서비스업을 주목적으로 서울시의 다수 오피스텔과 상가를 통한 임대사업을 영위하고 있음. 전국의 도시가스 공급량(누계)은 가정용은 43.0%, 일반용 9.5%, 업무용 5.2%등으로 구분됨.",2535,KOSPI
021050,서원,금속 주조업,"1988년 9월 7일에 설립되었으며,1996년 1월 30일 한국거래소 유가증권시장에 상장되었음. 동사는 비철금속 부문에서 소재 산업을 선도하고 있는 신동업계 정상의 기업으로 주요 제품은 황동빌레트, 인고트 및 동합금 제품이 있음. 동사 제품의 사용범위가 자동차부품소재 및 전기, 반도체, 건설 및 가전 등 다양하기 때문에 그 수요는 꾸준히 늘어날 것으로 전망됨.",544,KOSPI
136490,선진,동물용 사료 및 조제식품 제조업,"동사는 배합사료 제조 및 판매업, 축산물 가공 및 판매업 등을 영위할 목적으로 설립되었으며 2011년 1월에 동사와 선진지주로 인적분할함. 동사의 주된 사업은 배합사료 제조 및 판매업이며 그밖에도 축산물 가공 및 판매업, 양돈업 등을 영위하고 있음. 농장직접방문 또는 세미나 개최를 통해 사양, 방역, 급여지도 등 고객이 원하는 최고의 품질의 제품 및 서비스를 제공하여 매출을 확대하고 있음.",1439,KOSPI
004430,송원산업,기타 화학제품 제조업,"동사는 1965년 화학제품의 제조, 가공 및 판매를 위해 송원산업주식회사로 설립되었으며, 1977년 유가증권시장에 상장됨. 동사의 주사업은 폴리머 안정제 및 코팅제, 연료첨가제 등 화학제품 제조, 가공 및 판매이며, PVC안정제, 가소제, 고흡수성수지 등 합성수지 사업 또한 영위 중임. 폴리머안정제는 OLEFIN계 및 STYRENE계 수지 등에 사용되고 있으며, 동사가 20% 이상의 세계시장 수요점유율을 차지하고 있음.",2508,KOSPI
126720,수산인더스트리,건물설비 설치 공사업,동사는 1983년 4월 16일 건설공사 경상정비 사업을 영위할 목적으로 설립되었음. 2001년 민간 발전설비 정비업체 육성정책이 시행되면서 사업방향을 기존 건설공사에서 발전설비 정비로 변경함. 국내외 전력 발전소 설비의 안정적인 생산성 향상과 원활한 운전을 위한 다양한 형태의 정비 서비스를 제공함. 민간정비업체로는 유일하게 가동원전 원자로를 점검정비한 경험을 바탕으로 원자력 사업부문에서 가장 큰 매출을 발생시키고 있음.,3079,KOSPI
462870,시프트업,소프트웨어 개발 및 공급업,"동사는 세계 다양한 지역의 게이머들에게 어필할 수 있는 모바일 게임과 AAA 게임 IP를 보유하고 있으며, 고유한 개발 역량을 갖춘 국내 최고의 게임 개발 스튜디오임. 대부분의 매출은 해외에서 발생하고 있으며, <승리의 여신:니케>는 텐센트와 함께 글로벌 원빌드 출시함. 게임 개발에만 집중하는 기조를 이어나가며 향후에도 퍼블리셔와의 파트너십을 체결하는 방식으로 게임을 출시할 계획을 가지고 있음.",28263,KOSPI
016590,신대양제지,"골판지, 종이 상자 및 종이용기 제조업","동사는 골판지 원지와 골판지 상자 부문으로 사업영역이 구분되어 있으며 골판지 원지 부문을 동사와 종속회사인 대양제지공업, 신대양제지반월이 영위하고 있음. 종속회사인 대양제지공업은 2020년 10월 12일 안산공장 화재로 인한 생산 중단으로 영업이 정지되어 있음. 크라프트 라이너지, 테스트 라이너지 및 골판지용 골심지등 골판지용 원지 전지종을 생산, 판매하고 있음.",2402,KOSPI
034300,신세계건설,건물 건설업,"동사는 1991년 3월 20일에 회사가 설립되었으며, 당사의 주식은 1999년 6월 23일 코스닥시장, 2002년 6월 17일 유가증권시장에 상장함. 동사의 건설부문은 백화점/할인점/아울렛몰 등 대형판매시설의 건설, 오피스/오피스텔/주거시설의 신축을 주된 사업의 영업기반으로 삼고 있음. 월별로는 5월, 6월, 10월 이용객수가 가장 많은 성수기이며, 야외 스포츠의 특성상 1월과 2월은 추위와 눈으로 인하여 비수기임.",1400,KOSPI
481850,신한글로벌액티브리츠,신탁업 및 집합투자업,정보 없음,861,KOSPI
002030,아세아,회사 본부 및 경영 컨설팅 서비스업,"동사는 지주회사로 종속회사가 영위하는 사업으로는 시멘트, 제지, 기타사업으로 분류되며 시멘트 사업 부문은 시멘트와 레미콘, 몰탈 등을 제조해 판매함. 제지 사업 부문은 골판지원지, 골판지원단 및 상자 등을 만들어 판매하며 기타 부문은 창업투자업, 농작물재배 및 판매, 부동산임대 및 공원관리운영 등을 담당함. 시멘트사업, 제지사업 순으로 영업수익에서의 기여도가 높음.",5226,KOSPI
002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","동사는 1958년 설립돼 1988년 유가증권시장에서 주식이 거래되기 시작함. 지류 제조 및 판매업, 수출입업 등을 주요사업으로 영위함. 종속기업인 경산제지, 제일산업, 유진판지, 에이팩, 에이피리싸이클링이 영위하는 골판지와 골판지상자 관련 산업은 골판지원지가 주 원재료. 거액의 투자비가 소요되는 자본집약적 대형 장치산업임. 생산 시설은 국내 세종, 시화, 화성, 안성, 광주 등에 위치.",3410,KOSPI
122900,아이마켓코리아,상품 종합 도매업,"동사는 구매 전문성과 프로세스 효율화를 통해 고객의 시간과 비용을 절감해주는 B2B 구매서비스 기업임. MRO 구매대행 사업을 기반으로 IT, 건자재 등 다양한 전문 유통 사업과 헬스케어 분야로 진출하면서 산업 전 분야로 사업을 확대하고 있음. 사업부문은 크게 산업재 B2B 전자상거래업과 의약품 및 의료용품 도매업으로구성되며, 외화의 수입과 지출에 따른 환리스크를 관리하기 위해 외환관리지침을 제정하고 관리부서를 지정하여 운영함.",2734,KOSPI
